CountryName,FragilityIndex,m0_4,m5_9,m10_14,m15_19,m20_24,m25_29,m30_34,m35_39,m40_44,m45_49,m50_54,m55_59,m60_64,m65_69,m70_74,m75_79,m80_84,m85_89,m90_94,m95_99,m100_
Botswana,64,141846,128776,116604,111624,111123,108627,96250,74593,55009,43020,32748,24703,17498,11429,7997,5087,2620,1052,302,42,3
Brazil,62.1,7592582,7934214,8460417,8734284,8711292,8901778,8519686,7530499,6730770,6232798,5531904,4488284,3509922,2509171,1866600,1193846,631531,228359,42964,4283,209
Brunei Darussalam,63.2,17655,17021,18136,18074,19354,21475,20733,18432,16575,14002,11565,8271,5230,2915,2025,1200,703,301,89,16,0
Bulgaria,55,193233,179529,164668,167579,230739,260268,266408,289524,271509,243764,256768,254342,236944,198748,142018,119412,78445,34464,9578,1527,132
Burkina Faso,90.2,1630051,1344946,1114687,941621,796677,685141,564043,432366,326998,261044,206541,154985,107732,90173,57998,30293,12000,3111,288,2,0
Burundi,97.6,991883,769151,572955,488333,486001,444241,361335,247653,178893,131548,105063,88498,67075,42725,28503,16138,7191,2321,474,77,22
Cambodia,88,840737,802469,760587,732635,760541,725437,559629,356107,476555,431597,354244,247501,147371,92316,63905,40207,20662,7266,1578,163,7
Cameroon,93.5,1841882,1571218,1328097,1152106,1026326,872669,712552,560416,450442,352968,269003,201095,147658,116475,80057,49537,25720,10119,2689,419,28
Canada,26,984377,966171,970753,1112775,1239051,1210882,1201610,1152503,1185247,1293537,1382515,1246839,1043835,847014,592463,429674,305231,161307,56538,10020,1024
Cape Verde,73.7,27351,27252,27916,30371,30538,27204,22460,17061,14072,12725,10201,6648,3861,2518,2617,2827,1956,845,230,59,11
Central African Republic,105.3,447179,375704,328052,277139,219094,170560,131347,99196,84044,70190,60664,52520,40191,24455,14516,7871,3592,1089,110,4,0
Chad,109,1334232,1059228,852282,704735,575049,457822,373606,329445,266139,203216,153479,112301,78702,54505,36945,21657,9828,3192,641,103,18
Chile,42.3,614673,593018,621855,693588,743742,706712,662937,640031,625518,597396,540285,467110,382722,280247,202641,148915,98072,51717,14501,2298,188
China,80.9,48390471,44427523,43124115,46527359,59870379,59726174,51908023,51235822,63980566,60079544,39998733,42016617,33977393,22048933,15887348,11551106,6425545,2572887,577179,48881,736
Colombia,83.8,1886822,1992681,2115702,2164827,2117611,1964184,1791014,1576483,1462712,1426776,1251498,994387,754984,534423,364797,240061,139612,55469,14022,2132,195
Comoros,84,52919,47073,44789,39403,31991,24804,21145,17632,16385,14238,11088,7836,6973,4932,4713,2569,1400,329,74,8,0
Congo Democratic Republic,111.9,6921451,5496320,4555291,3916697,3189454,2618965,2063762,1672215,1444180,1200245,963469,763373,586945,454482,297240,165784,72572,22247,3858,266,6
Congo Republic,90,409201,329291,269885,233878,213453,199003,174692,150261,120522,95527,72086,50454,34135,23432,16052,9558,4486,1607,455,87,25
Costa Rica,48.7,188087,187743,196804,207396,215735,214626,193358,168511,154557,153476,140540,112387,87835,67601,48984,34588,20563,8912,2345,355,31
Cote d'Ivoire,103.5,1883372,1663415,1460961,1204276,1014174,854705,793696,669689,524913,389749,273091,212473,161144,117322,79110,49088,25614,10653,3341,590,66
Croatia,54.1,109090,106001,109546,126249,131290,144823,153290,146185,140650,149426,154679,157007,136569,96217,87944,70233,40757,15345,3919,617,103
Cuba,72.8,325983,308697,362716,369123,425207,406831,330704,397617,501159,511137,408455,302421,276776,239036,191202,129998,86404,47906,19256,5745,777
Cyprus,67,33612,31524,32314,38740,54628,60478,53035,43123,39529,37405,36323,32219,27435,22634,17365,12103,7194,3640,1261,250,21
Czech Republic,39.9,293875,275545,235482,253780,333312,364133,409320,480409,394253,360263,322191,353787,349400,295700,189537,119747,84365,37792,9702,808,99
Denmark,21.9,157781,169987,172001,184228,184817,165782,163499,185352,195912,216098,190759,176689,168214,174234,118993,80226,49516,26486,8998,1605,151
Djibouti,85.5,57595,57852,55855,49760,45711,40313,36705,33076,27639,21793,16800,12742,10141,7781,5047,2886,1330,420,80,7,0
Dominican Republic,73.2,527663,501043,507331,507434,480100,427190,388370,349478,310013,278630,239944,190588,141458,100205,73276,53281,29672,13490,5189,1430,280
Ecuador,78.6,818079,797519,787818,769481,730302,674633,596904,521770,461376,403704,341031,283463,229343,166054,121985,81399,47673,22365,7315,1440,149
Egypt,90.6,6019226,5135737,4754775,4516264,4482313,4305514,3764046,3155112,2679337,2325805,1911195,1486195,1076741,757054,418428,294184,148266,45418,8697,965,50
